uuid,title,title_short,title_original,slug,region,region_id,region_en,country_code,domain,surfaceType,snow,lifts,runs,km,updatedAt
20,Arapahoe Basin Ski Area,Arapahoe Basin,Arapahoe Basin Ski Area,arapahoe-basin-ski-area,colorado,251,Colorado,USA,None,1,"{'last24': 5.08, 'base': None}","{'open': 9, 'total': 9}","{'open': 145, 'openPercent': 100, 'total': 147}","{'open': None, 'total': None}",2023-03-21T18:27:39+00:00
25,Aspen Snowmass,Aspen Snowmass,Aspen / Snowmass,aspen-snowmass,colorado,251,Colorado,USA,None,1,"{'last24': 12.7, 'base': 149.86}","{'open': 36, 'total': 40}","{'open': 336, 'openPercent': 100, 'total': 336}","{'open': None, 'total': None}",2023-03-22T00:18:38+00:00
36,Beaver Creek,Beaver Creek,Beaver Creek,beaver-creek,colorado,251,Colorado,USA,None,1,"{'last24': 10.16, 'base': 152.4}","{'open': 24, 'total': 24}","{'open': 150, 'openPercent': 110, 'total': 150}","{'open': 0, 'total': 0}",2023-03-21T11:31:58+00:00
77,Breckenridge,Breckenridge,Breckenridge,breckenridge,colorado,251,Colorado,USA,None,15,"{'last24': 5.08, 'base': 152.4}","{'open': 35, 'total': 35}","{'open': 187, 'openPercent': 100, 'total': 187}","{'open': None, 'total': 0}",2023-03-21T11:28:35+00:00
372,Cooper,Cooper,Cooper,ski-cooper,colorado,251,Colorado,USA,None,2,"{'last24': 5.08, 'base': 116.84}","{'open': 5, 'total': 5}","{'open': 64, 'openPercent': 100, 'total': 64}","{'open': None, 'total': 0}",2023-03-21T11:59:17+00:00
113,Copper Mountain,Copper Mountain,Copper Mountain Resort,copper-mountain-resort,colorado,251,Colorado,USA,None,2,"{'last24': 5.08, 'base': 157.48}","{'open': 23, 'total': 24}","{'open': 150, 'openPercent': 99, 'total': 150}","{'open': 0, 'total': 0}",2023-03-21T11:03:20+00:00
120,Crested Butte Mountain Resort,Crested Butte,Crested Butte Mountain,crested-butte-mountain-resort,colorado,251,Colorado,USA,None,1,"{'last24': 17.78, 'base': 231.14}","{'open': 14, 'total': 14}","{'open': 121, 'openPercent': 136, 'total': 121}","{'open': None, 'total': None}",2023-03-21T11:37:54+00:00
1673,Echo Mountain,Echo Mountain,Echo Mountain,echo-mountain,colorado,251,Colorado,USA,None,4,"{'last24': 0, 'base': 76.2}","{'open': 3, 'total': 3}","{'open': 7, 'openPercent': 78, 'total': 9}","{'open': None, 'total': None}",2023-03-21T18:28:10+00:00
143,Eldora Mountain Resort,Eldora,Eldora Mountain Resort,eldora-mountain-resort,colorado,251,Colorado,USA,None,4,"{'last24': 5.08, 'base': 76.2}","{'open': 10, 'total': 10}","{'open': 60, 'openPercent': 98, 'total': 61}","{'open': 0, 'total': 0}",2023-03-21T11:35:38+00:00
181,Howelsen Hill,Howelsen Hill,Howelsen Hill,howelsen-hill,colorado,251,Colorado,USA,None,2,"{'last24': 0, 'base': 177.8}","{'open': 3, 'total': 4}","{'open': 17, 'openPercent': 100, 'total': 17}","{'open': None, 'total': None}",2023-03-21T18:28:24+00:00
197,Keystone,Keystone,Keystone,keystone,colorado,251,Colorado,USA,None,1,"{'last24': 7.62, 'base': 134.62}","{'open': 20, 'total': 20}","{'open': 128, 'openPercent': 100, 'total': 128}","{'open': None, 'total': 0}",2023-03-21T11:55:30+00:00
220,Loveland,Loveland,Loveland,loveland,colorado,251,Colorado,USA,None,1,"{'last24': 5.08, 'base': 147.32}","{'open': 10, 'total': 10}","{'open': 94, 'openPercent': 100, 'total': 94}","{'open': None, 'total': 0}",2023-03-21T10:45:12+00:00
240,Monarch Mountain,Monarch,Monarch Mountain,monarch-mountain,colorado,251,Colorado,USA,None,1,"{'last24': 12.7, 'base': None}","{'open': 7, 'total': 7}","{'open': 67, 'openPercent': 100, 'total': 67}","{'open': None, 'total': 0}",2023-03-21T18:29:09+00:00
329,Powderhorn,Powderhorn,Powderhorn,powderhorn,colorado,251,Colorado,USA,None,2,"{'last24': 17.78, 'base': 226.06}","{'open': 5, 'total': 5}","{'open': 54, 'openPercent': 100, 'total': 54}","{'open': None, 'total': 0}",2023-03-21T18:27:04+00:00
330,Purgatory,Purgatory,Purgatory,durango-mountain-resort,colorado,251,Colorado,USA,None,1,"{'last24': 40.64, 'base': 238.76}","{'open': 9, 'total': 11}","{'open': 105, 'openPercent': 100, 'total': 105}","{'open': None, 'total': 0}",2023-03-21T11:22:32+00:00
1435,Silverton Mountain,Silverton,Silverton Mountain,silverton-mountain,colorado,251,Colorado,USA,None,1,"{'last24': 30.48, 'base': 177.8}","{'open': 1, 'total': 1}","{'open': 69, 'openPercent': 100, 'total': 69}","{'open': 1.5, 'total': 1.5}",2023-03-21T11:23:45+00:00
365,Ski Granby Ranch,Granby Ranch,Ski Granby Ranch,ski-granby-ranch,colorado,251,Colorado,USA,None,4,"{'last24': 2.54, 'base': 78.74}","{'open': 5, 'total': 5}","{'open': 41, 'openPercent': 100, 'total': 41}","{'open': None, 'total': 0}",2023-03-21T11:56:06+00:00
425,Steamboat,Steamboat,Steamboat,steamboat,colorado,251,Colorado,USA,None,1,"{'last24': 22.86, 'base': 213.36}","{'open': 21, 'total': 21}","{'open': 171, 'openPercent': 100, 'total': 171}","{'open': None, 'total': 0}",2023-03-21T11:09:57+00:00
445,Sunlight Mountain Resort,Sunlight Mountain,Sunlight Mountain Resort,sunlight-mountain-resort,colorado,251,Colorado,USA,None,1,"{'last24': 12.7, 'base': 167.64}","{'open': 3, 'total': 3}","{'open': 70, 'openPercent': 97, 'total': 74}","{'open': None, 'total': 0}",2023-03-21T11:25:25+00:00
456,Telluride,Telluride,Telluride,telluride,colorado,251,Colorado,USA,None,1,"{'last24': 20.32, 'base': 152.4}","{'open': 17, 'total': 17}","{'open': 144, 'openPercent': 98, 'total': 147}","{'open': None, 'total': 0}",2023-03-21T11:15:13+00:00
482,Vail,Vail,Vail,vail,colorado,251,Colorado,USA,None,4,"{'last24': 7.62, 'base': 187.96}","{'open': 31, 'total': 31}","{'open': 275, 'openPercent': 100, 'total': 275}","{'open': None, 'total': 0}",2023-03-21T11:31:05+00:00
507,Winter Park,Winter Park,Winter Park Resort,winter-park-resort,colorado,251,Colorado,USA,None,1,"{'last24': 10.16, 'base': None}","{'open': 19, 'total': 25}","{'open': 165, 'openPercent': 100, 'total': 165}","{'open': None, 'total': 0}",2023-03-21T18:29:35+00:00
511,Wolf Creek Ski Area,Wolf Creek,Wolf Creek Ski Area,wolf-creek-ski-area,colorado,251,Colorado,USA,None,1,"{'last24': 45.72, 'base': 396.24}","{'open': 9, 'total': 10}","{'open': 106, 'openPercent': 80, 'total': 133}","{'open': 6, 'total': 0}",2023-03-21T19:52:18+00:00